2018-01-27 | 0 0 0 0 0 0 0 1 0 
2018-01-28 | 0 0 0 0 0 0 0 1 0 
2018-01-29 | 0 1 0 0 0 0 0 0 0 
2018-02-01 | 1 0 1 0 0 1 0 0 0 
2018-02-03 | 0 0 0 0 0 0 0 1 0 
2018-02-09 | 0 0 1 0 0 0 0 0 1 
2018-02-11 | 0 0 1 0 0 0 0 0 0 
2018-02-12 | 0 0 1 0 0 0 0 0 1 
2018-02-13 | 0 0 1 0 0 0 0 0 1 
2018-02-14 | 0 1 1 0 0 0 0 0 0 
2018-02-15 | 0 0 1 0 0 0 0 0 1 
2018-02-16 | 0 0 1 0 0 0 0 1 0 
2018-02-18 | 0 0 1 0 0 0 0 0 0 
2018-02-19 | 0 0 1 0 0 0 0 0 0 
2018-02-21 | 0 0 1 0 0 0 0 0 0 
2019-02-25 | 1 1 1 0 0 0 0 0 0 
2018-02-26 | 0 1 1 1 1 0 0 0 0 
2018-02-27 | 0 0 0 0 0 0 0 0 1 
2018-03-02 | 0 0 1 0 0 0 0 1 0 
2018-03-04 | 0 0 1 0 0 0 0 0 1 
2018-03-09 | 0 0 1 0 0 1 0 0 1 
